azRc1,elRc1
-5.71,0.39
-5.71,0.37
-5.71,0.39
-5.71,0.37
-5.71,0.52
-5.71,0.72
-5.71,0.72
-5.71,0.74
-5.71,0.73
-5.71,0.71
-5.71,0.86
-5.71,1.04
-5.71,1.05
-5.71,1.06
-5.71,1.05
-5.71,1.20
-5.71,1.38
-5.71,1.39
-5.71,1.38
-5.71,1.36
-5.71,1.50
-5.74,1.66
-5.74,1.64
-5.74,1.64
-5.74,1.77
-5.74,2.04
-5.74,2.17
-5.74,2.16
-5.74,2.18
-5.74,2.17
-5.74,2.17
-5.76,2.17
-5.76,2.16
-5.76,2.15
-5.76,2.14
-5.76,2.14
-5.76,2.13
-5.76,2.12
-5.76,2.11
-5.76,2.11
-5.76,2.12
-5.76,2.11
-5.76,2.10
-5.76,2.10
-5.76,2.10
