ff_8mhz_2,ff_8mhz_4
3.53,0.60
3.67,0.20
3.40,0.47
3.33,1.27
3.33,4.33
3.27,4.33
3.80,3.13
3.80,4.00
3.53,3.73
3.40,3.87
3.27,3.47
3.40,3.73
3.40,3.73
3.53,3.27
3.93,0.87
3.87,-1.27
3.20,0.60
2.67,0.60
3.20,0.07
3.80,-0.20
3.80,0.47
3.80,0.40
3.80,0.13
3.33,0.20
2.93,1.80
3.20,4.73
3.33,3.93
4.00,3.33
4.00,3.73
3.40,3.73
3.40,4.00
3.20,3.47
3.20,3.87
3.53,3.87
3.80,3.47
3.93,-0.47
3.80,-0.60
3.07,0.73
2.80,0.20
3.27,0.07
3.40,0.07
3.80,0.33
3.80,0.33
3.67,0.07
3.27,0.20
2.93,2.47
3.20,4.60
3.47,3.67
4.00,3.40
3.80,3.87
3.40,3.87
3.33,3.80
3.20,3.40
3.27,3.73
3.40,3.73
3.80,2.47
3.80,-0.60
3.67,0.33
3.40,0.60
3.27,-0.27
3.40,0.40
3.40,0.00
3.67,0.27
3.80,0.13
3.53,0.00
3.40,0.47
3.27,2.87
3.20,4.73
3.60,3.53
3.93,3.60
3.53,4.00
3.40,3.73
3.40,3.60
3.20,3.47
3.20,3.87
3.53,3.60
3.93,2.40
3.80,-0.93
3.80,-0.53
2.73,1.00
2.73,0.33
3.53,-0.27
3.53,0.40
3.87,0.47
3.87,0.07
3.40,0.07
3.27,0.20
2.93,3.87
3.20,4.40
3.60,3.40
4.00,3.80
3.67,3.60
3.40,3.60
3.20,3.53
3.20,3.53
3.27,3.87
3.67,3.60
3.80,1.33
3.80,-0.40
3.33,0.67
3.33,0.27
3.27,-0.07
3.40,0.60
3.53,-0.20
3.80,0.47
3.40,0.13
3.40,0.13
3.33,0.93
3.20,4.00
3.20,4.40
3.73,3.20
3.80,3.73
3.53,3.73
3.40,3.87
3.27,3.47
3.27,3.60
3.40,3.73
3.53,3.53
3.93,1.53
3.87,-1.13
3.47,0.07
2.67,0.60
3.07,0.07
3.67,-0.20
3.67,0.47
3.80,0.40
3.80,0.13
3.33,0.20
2.93,1.00
3.20,4.73
3.20,4.20
4.00,3.20
4.00,3.87
3.40,3.73
3.40,4.00
3.20,3.40
3.20,3.53
3.40,3.87
3.67,3.60
3.93,0.07
3.80,-0.73
3.20,0.60
2.80,0.20
3.27,0.07
3.40,0.07
3.80,0.33
3.80,0.33
3.67,0.07
3.40,0.20
3.07,1.80
3.07,4.60
3.40,3.80
3.93,3.27
3.93,3.87
3.53,3.60
3.33,3.60
3.20,3.47
3.27,3.60
3.40,3.60
3.87,2.87
3.87,-0.20
3.80,-0.33
3.13,0.60
2.93,0.00
3.33,0.13
3.40,0.00
3.67,0.40
3.80,0.13
3.53,0.13
3.00,0.20
0.47,2.47
0.00,4.80
-0.40,3.60
-0.27,3.20
0.00,3.60
0.40,4.00
0.67,3.73
0.67,3.47
0.00,3.87
-0.20,3.60
-0.20,2.80
-0.07,-0.93
0.33,0.27
0.40,0.53
0.40,-0.27
0.33,0.60
-0.07,0.20
-0.20,0.20
0.07,0.20
0.27,0.07
0.40,0.20
0.27,3.20
0.27,4.80
0.00,3.27
0.27,3.27
0.07,3.60
0.07,3.87
0.20,3.53
0.20,3.53
0.20,4.00
0.20,3.73
0.27,2.47
0.27,-0.60
0.20,-0.60
-0.33,0.60
-0.07,0.40
0.33,-0.27
0.40,0.33
0.40,0.60
0.40,0.00
0.27,0.00
-0.20,0.60
-0.20,3.53
-0.07,4.40
0.60,3.33
0.67,3.73
0.27,3.73
0.20,3.87
-0.07,3.47
-0.20,3.60
0.07,3.73
0.27,3.60
0.40,1.60
0.27,-0.67
