ff_8mhz_2,ff_8mhz_4
0.27,0.27
0.20,0.20
0.60,0.47
2.07,0.20
2.87,0.20
2.80,-0.20
3.60,0.47
4.40,0.47
4.13,0.20
3.80,0.47
3.00,0.20
2.80,0.00
2.80,0.00
3.40,4.00
3.80,4.67
4.13,3.40
4.00,3.80
3.33,3.87
2.93,3.87
2.93,3.53
3.33,3.53
3.53,3.87
3.93,3.60
3.93,1.53
3.53,-0.87
3.20,0.27
2.80,0.40
3.27,0.07
3.67,0.20
3.87,0.33
4.00,0.60
3.67,0.00
3.27,0.13
3.07,0.93
3.07,4.27
3.27,4.27
4.07,3.20
3.93,4.00
3.53,3.73
3.33,4.00
3.20,3.60
3.20,3.73
3.33,3.73
3.87,3.60
4.00,1.20
3.80,-0.53
3.40,0.40
2.80,0.13
3.07,0.13
3.40,0.13
3.67,0.40
3.80,0.47
3.80,0.07
3.33,0.20
3.20,1.00
3.20,4.60
3.20,4.20
4.00,3.20
3.87,3.87
3.40,3.73
3.40,4.00
3.20,3.40
3.20,3.80
3.40,3.60
3.67,3.60
3.93,0.07
3.80,-0.73
3.20,0.67
2.80,0.27
3.27,0.20
3.40,0.07
3.80,0.33
3.80,0.33
3.67,0.07
3.40,0.20
3.20,1.80
3.20,4.47
3.40,3.80
3.93,3.27
3.93,3.87
3.53,3.60
3.33,3.87
3.20,3.47
3.27,3.73
3.40,3.73
3.80,2.87
3.80,0.07
3.67,-0.33
3.00,0.60
2.93,0.13
3.33,0.13
3.40,0.07
3.67,0.47
3.80,0.13
3.80,0.13
3.33,0.20
2.93,2.33
3.33,4.73
3.33,3.80
4.00,3.33
3.87,3.73
3.40,3.73
3.40,3.73
3.20,3.47
3.20,3.87
3.53,3.87
3.80,2.93
3.80,-0.60
3.80,-0.20
3.07,0.60
3.07,0.07
3.40,0.13
3.40,0.00
3.80,0.60
3.80,0.33
3.40,0.07
3.27,0.20
2.93,3.33
3.20,4.67
3.60,3.40
3.87,3.40
3.67,3.87
3.40,3.87
3.33,3.53
3.20,3.40
3.27,3.87
3.40,3.60
3.80,2.27
3.80,-0.40
3.60,0.00
2.93,0.67
2.93,0.07
3.33,0.07
3.53,0.07
3.80,0.47
3.67,0.20
3.40,0.20
3.33,0.53
3.20,3.47
3.20,4.40
3.60,3.33
3.87,3.73
3.60,4.00
3.40,4.00
3.27,3.60
3.20,3.60
3.33,4.00
3.53,3.60
3.93,1.60
3.53,-0.87
3.53,0.20
2.80,0.40
3.07,0.13
3.40,0.13
3.40,0.13
3.80,0.47
3.80,0.07
3.40,0.20
3.27,0.47
3.20,4.40
3.20,4.40
3.87,3.13
4.00,3.80
3.67,3.73
3.40,4.00
3.20,3.53
3.20,3.80
3.40,3.87
3.67,3.60
3.80,0.53
3.80,-0.27
3.40,0.67
3.40,0.00
3.27,0.20
3.40,0.33
3.53,-0.07
