lora_ff_4mhz_2,lora_ff_4mhz_4
0.13,0.00
1.40,0.13
2.93,-0.20
3.93,0.07
2.93,-0.13
3.13,0.00
3.67,0.07
2.93,0.00
3.27,0.00
3.53,1.40
3.13,3.40
3.40,3.60
3.27,3.47
3.27,3.40
3.33,3.53
3.33,3.47
3.27,3.47
3.40,3.47
3.33,-0.60
3.13,0.07
3.40,0.07
3.33,-0.13
3.33,0.00
3.40,0.00
3.20,0.00
3.27,0.00
3.27,3.73
3.47,3.27
3.27,3.47
3.27,3.53
3.33,3.53
3.27,3.47
3.33,3.47
3.40,3.53
3.33,1.47
3.13,-0.07
3.27,-0.13
3.40,0.00
3.20,0.00
3.33,0.00
3.40,0.00
3.20,0.00
3.33,0.07
3.27,3.87
3.47,3.40
3.27,3.27
3.40,3.53
3.27,3.53
3.20,3.47
3.40,3.40
3.27,3.47
3.33,0.40
3.07,0.13
3.33,0.00
3.40,-0.07
3.27,0.07
3.33,0.00
3.33,0.00
3.27,0.00
3.27,2.20
3.40,3.60
3.27,3.60
3.20,3.33
3.40,3.47
3.27,3.47
3.20,3.47
3.40,3.53
3.33,2.93
3.13,-0.53
3.27,-0.13
3.40,0.07
3.27,-0.13
3.27,0.00
3.40,0.00
3.20,0.00
3.27,-0.13
3.27,2.87
3.40,3.07
3.20,3.47
3.27,3.47
3.33,3.47
3.20,3.40
3.40,3.47
3.33,3.47
3.33,1.93
3.13,-0.07
3.33,-0.13
3.40,-0.13
3.20,-0.13
3.20,0.00
3.27,0.00
3.27,0.00
3.27,0.67
3.27,4.27
3.47,3.20
3.20,3.47
3.33,3.47
3.33,3.53
3.20,3.47
3.33,3.47
3.27,3.53
3.33,0.00
3.07,0.13
3.40,-0.07
3.33,-0.07
3.20,0.00
3.40,0.00
3.27,0.00
3.20,0.00
3.33,1.33
3.33,3.53
3.27,3.53
3.20,3.33
3.40,3.47
3.27,3.47
3.27,3.53
3.27,3.40
3.20,3.40
3.33,-0.67
3.13,0.07
3.33,0.07
3.27,0.07
3.20,-0.13
3.40,0.00
3.27,0.00
3.20,0.00
3.27,3.80
3.47,3.27
3.20,3.40
3.27,3.53
3.33,3.53
3.27,3.47
3.27,3.47
3.40,3.47
3.20,1.20
3.27,-0.07
3.33,-0.13
3.20,0.07
3.33,-0.07
3.27,0.07
3.20,0.00
3.20,0.00
3.27,0.07
3.27,3.60
3.47,3.40
3.27,3.33
3.33,3.47
3.33,3.47
3.20,3.47
3.33,3.40
3.40,3.53
3.33,0.13
3.00,0.13
3.40,0.00
3.47,-0.13
3.07,0.07
3.40,-0.13
3.27,-0.13
3.20,0.00
3.27,2.20
3.27,3.60
3.27,3.53
3.20,3.33
3.40,3.47
3.20,3.47
3.27,3.47
3.27,3.47
3.33,2.87
3.27,-0.47
3.27,0.07
3.33,0.07
3.27,-0.13
3.27,-0.13
3.40,0.00
3.20,0.00
3.27,0.00
3.27,2.87
3.53,3.07
3.20,3.47
3.27,3.33
3.40,3.53
3.20,3.40
3.27,3.53
3.40,3.47
3.20,1.87
3.20,0.27
3.33,0.00
3.27,-0.20
3.33,0.07
3.27,0.07
3.27,-0.13
3.33,0.00
3.33,0.67
3.20,4.13
3.47,3.27
3.20,3.33
3.27,3.53
3.40,3.53
3.20,3.47
3.33,3.40
3.33,3.47
3.53,-0.13
2.67,0.53
3.40,-0.07
3.33,-0.13
3.20,0.00
3.40,0.07
3.27,0.00
3.27,0.00
3.33,1.33
3.40,3.53
3.27,3.53
3.20,3.47
3.40,3.40
3.27,3.47
3.33,3.47
3.33,3.47
3.20,3.47
3.27,-0.13
3.40,0.07
3.27,-0.13
3.27,-0.07
3.27,-0.13
3.20,-0.13
3.33,0.00
3.27,0.00
3.20,3.73
3.47,3.27
3.27,3.53
3.27,3.47
3.40,3.53
3.20,3.40
3.27,3.53
3.40,3.53
3.33,1.60
2.87,-0.13
3.33,-0.13
3.40,0.00
3.07,0.00
3.33,-0.13
3.33,-0.13
3.20,0.00
3.33,0.07
3.33,3.87
3.33,3.40
3.20,3.33
3.33,3.40
3.33,3.53
3.20,3.40
3.33,3.47
3.20,3.40
3.33,0.40
3.07,0.13
3.33,0.00
3.27,-0.07
3.20,0.00
3.27,0.00
3.27,0.00
3.20,0.00
3.27,2.20
3.40,3.60
3.27,3.53
3.20,3.33
3.33,3.47
3.20,3.47
3.27,3.40
3.40,3.53
3.27,3.00
2.53,-0.47
-0.27,0.07
-0.67,-0.07
0.67,0.13
-0.27,0.00
-0.13,0.00
0.33,0.00
-0.13,0.00
-0.27,2.87
0.53,3.20
-0.27,3.47
-0.13,3.47
0.20,3.47
-0.27,3.40
0.07,3.47
0.07,3.47
-0.20,2.00
0.07,0.27
0.07,0.00
-0.20,-0.20
-0.07,-0.13
-0.07,0.00
-0.20,0.00
0.07,0.00
0.07,0.67
-0.20,4.27
0.13,3.27
-0.20,3.47
-0.07,3.53
0.20,3.60
-0.20,3.47
0.07,3.47
0.07,3.47
0.20,-0.07
-0.53,0.40
0.27,-0.07
0.13,-0.07
-0.20,0.00
0.20,0.00
-0.07,0.00
-0.20,0.00
-0.07,1.40
0.27,3.53
0.07,3.53
-0.07,3.33
0.20,3.53
-0.07,3.47
-0.07,3.53
0.20,3.47
-0.20,3.40
0.07,-0.67
-0.13,0.20
0.07,0.07
-0.07,0.07
-0.20,0.00
-0.07,0.00
-0.20,0.07
-0.20,0.00
0.07,3.80
0.13,3.20
-0.20,3.40
-0.07,3.53
0.07,3.53
-0.07,3.40
0.07,3.47
0.20,3.47
0.20,1.53
-0.13,-0.07
0.07,-0.13
