lora_ff_4mhz_2,lora_ff_4mhz_4
0.20,0.07
-0.20,0.00
0.07,0.00
0.20,0.00
-0.20,0.00
0.20,0.07
-0.07,3.80
0.13,3.33
-0.20,3.47
0.07,3.47
0.07,3.53
-0.20,3.47
0.20,3.40
-0.07,3.53
0.07,0.53
-0.27,0.27
0.20,0.00
0.07,-0.07
0.07,0.00
0.07,0.00
0.07,0.00
-0.07,0.00
0.07,2.33
0.00,3.60
-0.07,3.60
-0.20,3.40
0.20,3.53
0.07,3.53
-0.07,3.53
0.20,3.53
0.07,3.40
0.00,-0.47
-0.07,-0.07
0.07,0.07
-0.07,0.07
-0.07,0.00
0.20,0.00
-0.20,0.00
-0.07,0.00
-0.20,3.00
0.27,3.20
-0.20,3.47
-0.07,3.40
0.07,3.40
-0.07,3.40
0.20,3.53
0.07,3.40
-0.07,2.40
0.00,-0.07
-0.07,0.00
0.20,0.07
-0.20,0.00
-0.07,0.00
0.20,0.07
-0.07,0.07
0.07,0.67
-0.07,4.67
0.13,3.27
-0.07,3.47
0.20,3.53
0.07,3.53
-0.07,3.47
0.13,2.33
